# x	ntot	nice
-250	2501.081777	2500.01153
-249	2500.518281	2499.530231
-248	2500.404644	2499.325023
-247	2500.3181	2499.188687
-246	2500.288337	2499.149348
-245	2500.259442	2499.116534
-244	2500.237886	2499.095141
-243	2500.209599	2499.071068
-242	2500.1751	2499.047857
-241	2500.101378	2499.01688
-240	2499.876924	2498.971805
-239	2499.444132	2498.399499
-238	2499.348547	2498.233121
-237	2499.302285	2498.166999
-236	2499.274039	2498.132523
-235	2499.250389	2498.10721
-234	2499.227525	2498.085793
-233	2499.199461	2498.063552
-232	2499.157957	2498.038485
-231	2499.072716	2498.009834
-230	2498.738481	2497.871287
-229	2498.420502	2497.357114
-228	2498.3397	2497.219562
-227	2498.299442	2497.163283
-226	2498.272699	2497.130997
-225	2498.250528	2497.107345
-224	2498.228639	2497.086758
-223	2498.202716	2497.065893
-222	2498.16535	2497.042257
-221	2498.095573	2497.015271
-220	2497.862428	2496.965773
-219	2497.46742	2496.442224
-218	2497.359364	2496.250146
-217	2497.312355	2496.180297
-216	2497.283282	2496.143269
-215	2497.260943	2496.118096
-214	2497.240552	2496.097616
-213	2497.21874	2496.078334
-212	2497.191218	2496.057812
-211	2497.148901	2496.03404
-210	2497.063813	2496.008164
-209	2496.757758	2495.891667
-208	2496.441476	2495.394825
-207	2496.353004	2495.239862
-206	2496.310589	2495.177875
-205	2496.283385	2495.143379
-204	2496.262224	2495.119456
-203	2496.243001	2495.099943
-202	2496.222889	2495.081786
-201	2496.198565	2495.062866
-200	2496.163764	2495.041336
-199	2496.101839	2495.016893
-198	2495.932822	2494.989512
-197	2495.536543	2494.568824
-196	2495.389031	2494.299432
-195	2495.332161	2494.208102
-194	2495.299615	2494.163434
-193	2495.276613	2494.135436
-192	2495.257598	2494.114561
-191	2495.239669	2494.096771
-190	2495.220545	2494.079809
-189	2495.197335	2494.061979
-188	2495.164603	2494.041746
-187	2495.108504	2494.018753
-186	2494.973479	2493.996572
-185	2494.602384	2493.684026
-184	2494.414382	2493.344168
-183	2494.34741	2493.230892
-182	2494.311156	2493.178569
-181	2494.286777	2493.147425
-180	2494.267667	2493.125351
-179	2494.250727	2493.107521
-178	2494.233978	2493.0915
-177	2494.215551	2493.075711
-176	2494.192817	2493.058833
-175	2494.160692	2493.039652
-174	2494.106495	2493.01808
-173	2493.983982	2492.997987
-172	2493.646764	2492.755077
-171	2493.436091	2492.383598
-170	2493.361151	2492.252342
-169	2493.321825	2492.193184
-168	2493.296209	2492.159061
-167	2493.276874	2492.135718
-166	2493.26051	2492.117613
-165	2493.245243	2492.102094
-164	2493.229651	2492.087614
-163	2493.212213	2492.073044
-162	2493.190681	2492.057372
-161	2493.160775	2492.039656
-160	2493.112404	2492.019796
-159	2493.014108	2492.00143
-158	2492.743758	2491.879719
-157	2492.482182	2491.469653
-156	2492.38636	2491.293902
-155	2492.339491	2491.21869
-154	2492.310556	2491.177699
-153	2492.289828	2491.151112
-152	2492.27324	2491.131559
-151	2492.258718	2491.115716
-150	2492.244964	2491.101818
-149	2492.230942	2491.088754
-148	2492.215548	2491.07569
-147	2492.197255	2491.061874
-146	2492.173439	2491.046574
-145	2492.13872	2491.029312
-144	2492.079828	2491.011233
-143	2491.952434	2490.993848
-142	2491.66435	2490.782637
-141	2491.465991	2490.438599
-140	2491.385442	2490.292055
-139	2491.342712	2490.223431
-138	2491.315404	2490.18422
-137	2491.295615	2490.158279
-136	2491.279856	2490.139163
-135	2491.266315	2490.123849
-134	2491.253892	2490.110713
-133	2491.241797	2490.098765
-132	2491.22933	2490.087317
-131	2491.215714	2490.075814
-130	2491.199898	2490.063743
-129	2491.180203	2490.050595
-128	2491.153549	2490.035952
-127	2491.11344	2490.019984
-126	2491.043697	2490.005011
-125	2490.89337	2489.980105
-124	2490.628762	2489.730302
-123	2490.467092	2489.440058
-122	2490.393429	2489.305433
-121	2490.352151	2489.237744
-120	2490.325215	2489.197812
-119	2490.305662	2489.171159
-118	2490.290281	2489.151641
-117	2490.277381	2489.136279
-116	2490.265963	2489.123459
-115	2490.255367	2489.112221
-114	2490.245095	2489.101936
-113	2490.234718	2489.092151
-112	2490.223794	2489.082508
-111	2490.211798	2489.072688
-110	2490.198016	2489.062383
-109	2490.18136	2489.051289
-108	2490.16001	2489.039147
-107	2490.130601	2489.025943
-106	2490.086191	2489.012508
-105	2490.010402	2489.001113
-104	2489.861771	2488.968554
-103	2489.639256	2488.747671
-102	2489.492014	2488.486713
-101	2489.416928	2488.346443
-100	2489.373253	2488.271242
-99	2489.344514	2488.225969
-98	2489.323815	2488.195792
-97	2489.307849	2488.174014
-96	2489.294849	2488.157287
-95	2489.283783	2488.143776
-94	2489.274001	2488.1324
-93	2489.265064	2488.122476
-92	2489.256652	2488.113545
-91	2489.248512	2488.105286
-90	2489.240427	2488.097454
-89	2489.232192	2488.089856
-88	2489.223588	2488.082326
-87	2489.214366	2488.074714
-86	2489.204215	2488.066878
-85	2489.192715	2488.058677
-84	2489.179273	2488.049977
-83	2489.162993	2488.040674
-82	2489.142446	2488.03075
-81	2489.115208	2488.020423
-80	2489.076868	2488.010429
-79	2489.018833	2488.001983
-78	2488.924067	2487.989321
-77	2488.774298	2487.913288
-76	2488.61447	2487.708812
-75	2488.507174	2487.514766
-74	2488.442464	2487.392508
-73	2488.400851	2487.317637
-72	2488.371997	2487.269006
-71	2488.350712	2487.235311
-70	2488.334218	2487.210629
-69	2488.320917	2487.191702
-68	2488.309838	2487.176628
-67	2488.300352	2487.164238
-66	2488.29204	2487.15378
-65	2488.284607	2487.144749
-64	2488.277841	2487.136794
-63	2488.271583	2487.129664
-62	2488.265711	2487.123173
-61	2488.260128	2487.117183
-60	2488.254756	2487.111584
-59	2488.249528	2487.106292
-58	2488.244385	2487.101237
-57	2488.239274	2487.096363
-56	2488.234147	2487.091621
-55	2488.228955	2487.08697
-54	2488.223651	2487.082373
-53	2488.218183	2487.0778
-52	2488.212497	2487.07322
-51	2488.206533	2487.068607
-50	2488.200222	2487.063937
-49	2488.193487	2487.05919
-48	2488.186233	2487.054345
-47	2488.178348	2487.04939
-46	2488.169695	2487.044317
-45	2488.160104	2487.039125
-44	2488.14936	2487.033831
-43	2488.137189	2487.028468
-42	2488.123237	2487.023098
-41	2488.107039	2487.017824
-40	2488.087977	2487.012789
-39	2488.065228	2487.00817
-38	2488.037694	2487.004101
-37	2488.003946	2487.000408
-36	2487.962252	2486.995891
-35	2487.91093	2486.986814
-34	2487.849438	2486.9652
-33	2487.780327	2486.92044
-32	2487.710047	2486.848456
-31	2487.645879	2486.759513
-30	2487.591793	2486.670063
-29	2487.548023	2486.590804
-28	2487.513006	2486.524895
-27	2487.48488	2486.471452
-26	2487.462047	2486.428336
-25	2487.443276	2486.393392
-24	2487.427648	2486.364822
-23	2487.414485	2486.341225
-22	2487.40328	2486.321533
-21	2487.393656	2486.304943
-20	2487.385325	2486.290844
-19	2487.378065	2486.278769
-18	2487.371705	2486.26836
-17	2487.366107	2486.259336
-16	2487.361165	2486.25148
-15	2487.356792	2486.244616
-14	2487.352918	2486.238605
-13	2487.349485	2486.233336
-12	2487.346446	2486.228718
-11	2487.343764	2486.224676
-10	2487.341405	2486.221151
-9	2487.339345	2486.218092
-8	2487.33756	2486.215459
-7	2487.336032	2486.213219
-6	2487.334748	2486.211343
-5	2487.333695	2486.209811
-4	2487.332863	2486.208605
-3	2487.332245	2486.207711
-2	2487.331836	2486.207121
-1	2487.331632	2486.206827
0	2487.331632	2486.206827
1	2487.331836	2486.207121
2	2487.332245	2486.207711
3	2487.332863	2486.208605
4	2487.333695	2486.209811
5	2487.334748	2486.211343
6	2487.336032	2486.213219
7	2487.33756	2486.215459
8	2487.339345	2486.218092
9	2487.341405	2486.221151
10	2487.343764	2486.224676
11	2487.346446	2486.228718
12	2487.349485	2486.233336
13	2487.352918	2486.238605
14	2487.356792	2486.244616
15	2487.361165	2486.25148
16	2487.366107	2486.259336
17	2487.371705	2486.26836
18	2487.378065	2486.278769
19	2487.385325	2486.290844
20	2487.393656	2486.304943
21	2487.40328	2486.321533
22	2487.414485	2486.341225
23	2487.427648	2486.364822
24	2487.443276	2486.393392
25	2487.462047	2486.428336
26	2487.48488	2486.471452
27	2487.513006	2486.524895
